Parent Category,Category,Status
Home Care,Insect Control,Active
Home Care,Cleaning Chemicals,Active
Household,Tissue Paper,Active
Household,Toilet Rolls,Active
Household,Kitchen Rolls,Active
Household,Garbage Bags,Active
Household,Aluminum Foil,Active
Household,Cling Film,Active
Household,Food Storage,Active
Household,Plastic Products,Active
Household,Disposable Products,Active
Household,Cleaning Tools,Active
Household,Kitchen Tools,Active
Household,Household Accessories,Active
Pet Care,Cat Food,Active
Pet Care,Dog Food,Active
Pet Care,Bird Feed,Active
Pet Care,Fish Feed,Active
Pet Care,Pet Treats,Active
Pet Care,Pet Hygiene,Active
Pet Care,Pet Accessories,Active
Stationery & Office Supplies,Pens,Active
Stationery & Office Supplies,Pencils,Active
Stationery & Office Supplies,Markers,Active
Stationery & Office Supplies,Notebooks,Active
Stationery & Office Supplies,Registers,Active
Stationery & Office Supplies,Paper Products,Active
Stationery & Office Supplies,School Supplies,Active
Stationery & Office Supplies,Office Supplies,Active
Stationery & Office Supplies,Art Supplies,Active
Stationery & Office Supplies,Filing & Storage,Active
Electronics & Mobile Accessories,Chargers,Active
Electronics & Mobile Accessories,Data Cables,Active
Electronics & Mobile Accessories,Earphones,Active
Electronics & Mobile Accessories,Headphones,Active
Electronics & Mobile Accessories,Power Banks,Active
Electronics & Mobile Accessories,Batteries,Active
Electronics & Mobile Accessories,LED Bulbs,Active
Electronics & Mobile Accessories,Extension Boards,Active
Electronics & Mobile Accessories,Mobile Accessories,Active
Electronics & Mobile Accessories,Small Electronics,Active
Electronics & Mobile Accessories,Computer Accessories,Active
Tobacco & Smoking Accessories,Cigarettes,Active
Tobacco & Smoking Accessories,Cigars,Active
Tobacco & Smoking Accessories,Smokeless Tobacco,Active
Tobacco & Smoking Accessories,Lighters,Active
Tobacco & Smoking Accessories,Matches,Active
Tobacco & Smoking Accessories,Smoking Accessories,Active
Seasonal & Promotional,Ramadan,Active
Seasonal & Promotional,Eid,Active
Seasonal & Promotional,Winter Specials,Active
Seasonal & Promotional,Summer Specials,Active
Seasonal & Promotional,School Season,Active
Seasonal & Promotional,Gift Packs,Active
Seasonal & Promotional,Promotional Bundles,Active
General Merchandise,Toys,Active
General Merchandise,Gifts,Active
General Merchandise,Travel Accessories,Active
General Merchandise,Religious Items,Active
General Merchandise,Kitchenware,Active
General Merchandise,Plastic Ware,Active
General Merchandise,Utility Items,Active
General Merchandise,Hardware Essentials,Active
General Merchandise,Sewing Accessories,Active
General Merchandise,Miscellaneous,Active
